country,job_role,ai_specialization,experience_level,experience_years,salary_usd,education_required,industry,company_size,year,work_mode,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
UAE,Machine Learning Engineer,Reinforcement Learning,Entry,0,66465,Master,Automotive,Small,2020,Remote,3.67,10,52.76535076,0.404,91,3.3,78.65,13,27,12,76,57,65,73,15,55,1.23,76
USA,AI Engineer,LLM,Entry,1,75507,Bootcamp,Retail,Small,2021,Onsite,4.26,27,53.11458013,0.387,71,4.39,62.14,13,27,54,29,69,60,51,15,58,0.87,67
Brazil,Research Scientist,Analytics,Entry,0,41660,PhD,Healthcare,Large,2020,Remote,4.78,10,76.39526308,0.415,69,5.04,87.47,8,13,12,49,70,59,68,37,13,2.13,61
India,Software Engineer AI,Computer Vision,Senior,6,43268,Diploma,Tech,Large,2026,Onsite,4.34,23,59.34019893,0.115,74,4.38,86.84,7,30,80,47,79,65,55,46,74,1.49,56
Germany,Machine Learning Engineer,Computer Vision,Entry,0,69119,Master,Retail,Medium,2021,Hybrid,4.49,17,72.3011278,0.311,68,6.67,79.84,7,24,82,47,64,52,69,17,21,0.87,72
India,Software Engineer AI,NLP,Mid,3,37712,Bootcamp,Automotive,Startup,2022,Remote,3.72,15,63.29720108,0.164,59,0.2,73.53,5,24,49,35,55,37,48,38,82,2.44,63
Japan,Data Analyst,LLM,Senior,9,71014,PhD,Tech,Small,2020,Hybrid,4.37,17,61.20824203,0.042,78,3.41,65.23,4,16,73,92,93,42,96,67,41,1.57,80
Germany,Computer Vision Engineer,MLOps,Lead,19,194659,Master,Consulting,Small,2021,Onsite,4.77,14,70.43505853,0.177,73,6.81,73.41,11,27,34,96,84,66,77,57,75,2.43,81
Australia,NLP Engineer,Forecasting,Senior,10,153176,Bachelor,Retail,Small,2024,Remote,3.56,7,64.39494818,0.117,54,7.45,84.17,5,30,21,88,79,56,56,50,55,1.99,85
Brazil,Machine Learning Engineer,Forecasting,Lead,19,102716,Bootcamp,Telecom,Enterprise,2023,Onsite,4.36,2,95.92021284,0.104,77,5.69,60.44,3,13,88,69,84,66,86,31,97,0.85,83
France,Software Engineer AI,NLP,Entry,1,62612,Diploma,Automotive,Large,2026,Onsite,4.03,22,52.7031137,0.4,76,5.52,93.26,14,18,65,98,58,58,70,45,23,1.9,61
Singapore,Machine Learning Engineer,Reinforcement Learning,Senior,10,133183,Master,Energy,Enterprise,2021,Remote,4.52,6,33.70121881,0.149,81,3.89,64.81,11,26,1,77,80,57,95,62,42,2.04,82
Netherlands,AI Engineer,Reinforcement Learning,Entry,1,81093,Bachelor,Gaming,Medium,2023,Onsite,3.85,21,84.94785621,0.41,66,1.43,54.53,4,12,94,63,60,41,79,55,9,1.6,71
Singapore,Data Scientist,NLP,Mid,5,88751,PhD,Consulting,Enterprise,2023,Onsite,3.48,35,40.82316561,0.14,75,0.64,68.86,9,16,70,97,71,48,78,25,94,1.77,77
Japan,Data Analyst,Forecasting,Senior,7,64231,Bootcamp,Telecom,Medium,2020,Remote,4.74,24,89.80376733,0.11,72,8.98,94.79,6,17,9,44,89,73,68,31,3,0.7,74
Brazil,Data Analyst,LLM,Mid,3,28000,Master,Tech,Startup,2024,Remote,4.4,7,82.98860818,0.237,89,2.62,89.38,8,12,66,31,73,61,62,57,36,1.24,64
UAE,Computer Vision Engineer,Forecasting,Mid,4,83603,Master,Energy,Small,2026,Hybrid,4.72,20,75.59868764,0.205,50,3.71,76.54,6,13,13,85,75,60,85,16,56,1.09,77
India,NLP Engineer,Computer Vision,Lead,12,57307,Bachelor,Consulting,Startup,2026,Onsite,4.78,21,56.62130657,0.074,97,4.16,86.44,8,13,32,25,73,62,49,39,25,2.05,62
Singapore,Computer Vision Engineer,MLOps,Mid,3,102527,Diploma,Telecom,Small,2020,Remote,3.56,2,44.66437392,0.203,61,7.09,97.98,10,27,13,7,80,61,58,32,84,0.59,67
Singapore,AI Engineer,Generative AI,Entry,0,59535,Diploma,Retail,Small,2024,Remote,3.64,20,46.50544466,0.378,69,2.22,55.35,9,11,22,49,59,57,83,29,1,1.67,66
Australia,Research Scientist,Forecasting,Lead,15,172659,Master,Automotive,Large,2020,Hybrid,4.44,17,43.38420023,0.068,65,2.72,71.42,6,11,75,95,85,51,56,54,70,2,72
USA,Software Engineer AI,Forecasting,Entry,0,94951,Bootcamp,Tech,Enterprise,2025,Remote,4.61,27,26.30030214,0.389,70,8.24,86.63,3,26,11,24,64,67,89,12,9,0.54,76
Brazil,Machine Learning Engineer,Reinforcement Learning,Mid,3,43912,Bootcamp,Telecom,Startup,2025,Remote,4.09,18,92.09346265,0.206,88,3.95,50.01,12,12,54,85,69,73,58,32,75,1.4,69
Brazil,Software Engineer AI,Reinforcement Learning,Senior,9,54437,PhD,Retail,Medium,2026,Remote,3.84,23,76.8188158,0,85,0.82,83.37,13,30,39,59,88,50,58,25,41,1.32,57
Canada,AI Engineer,Computer Vision,Lead,19,183108,Bachelor,Education,Enterprise,2026,Remote,4.02,14,40.32101668,0.182,65,1.32,53.63,11,18,17,45,69,42,88,68,9,2.24,88
Germany,Software Engineer AI,MLOps,Senior,6,97332,Bootcamp,Healthcare,Large,2020,Onsite,4.38,18,68.83709486,0.14,83,6.9,55.03,3,27,39,85,83,65,64,34,14,0.68,67
UK,Research Scientist,NLP,Entry,1,67130,PhD,Finance,Enterprise,2022,Onsite,4.78,25,54.85649246,0.297,95,5.2,78.32,6,20,27,88,78,76,98,12,82,0.81,82
France,Computer Vision Engineer,Generative AI,Senior,9,126464,PhD,Tech,Startup,2023,Remote,3.38,19,87.31296202,0.175,83,6.88,78.58,8,14,82,34,60,86,49,46,21,0.81,72
Japan,Computer Vision Engineer,Computer Vision,Lead,15,139135,Bachelor,Energy,Startup,2022,Remote,4.7,1,90.94614682,0.039,61,6.57,54.97,11,11,48,75,90,53,85,58,71,1.65,87
UK,NLP Engineer,Analytics,Mid,5,105101,Bachelor,Tech,Medium,2020,Remote,4.4,23,47.03621725,0.173,82,6.09,72.65,13,17,86,14,77,71,82,48,46,1.27,78
Singapore,NLP Engineer,NLP,Mid,3,78117,Diploma,Retail,Small,2020,Remote,3.25,29,76.86499707,0.22,39,1.75,76.34,14,20,53,86,74,35,57,24,95,1.18,73
Germany,Research Scientist,LLM,Mid,3,89465,Diploma,Finance,Large,2026,Remote,3.94,10,100,0.216,100,4,97.1,10,21,40,30,82,83,71,27,29,1.51,68
USA,Data Analyst,Computer Vision,Lead,12,110907,PhD,Gaming,Medium,2026,Onsite,3.29,19,44.1523395,0.046,59,0.92,63.44,11,22,87,69,82,35,94,50,43,1.17,84
USA,Machine Learning Engineer,MLOps,Senior,9,158412,Bachelor,Healthcare,Enterprise,2024,Onsite,4.02,7,48.95587541,0.012,53,4.41,98.65,9,21,94,41,89,43,96,15,56,2.22,93
Brazil,Machine Learning Engineer,MLOps,Lead,18,108016,Bachelor,Education,Small,2020,Hybrid,3.73,11,67.13704844,0.046,74,2.11,49.15,3,26,69,88,81,59,70,22,93,2.29,65
Japan,Data Analyst,Analytics,Senior,7,68211,Bootcamp,Telecom,Startup,2025,Onsite,4.53,17,55.53970542,0.104,61,2.35,66.85,4,19,65,40,72,46,73,40,86,1.09,68
Australia,Software Engineer AI,NLP,Lead,19,155111,Master,Automotive,Enterprise,2024,Onsite,3.67,28,72.24856887,0.114,78,6.01,97.16,9,15,79,73,80,63,66,30,39,2.24,75
Australia,AI Engineer,Generative AI,Senior,8,135937,Bootcamp,Automotive,Small,2020,Onsite,4,20,24.21696893,0.062,71,2.6,84.61,8,24,57,57,85,50,66,60,87,1.03,80
